,,,,,,,,,,,,,,,,,,,,
Gm#,April,,Tm,,Opp,W/L,R,RA,Opp ERA,Opp OPS,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
3,"Tuesday, Apr 2",boxscore,KCR,@,DET,L,1,6,4.58,0.68,5,2,Liriano,Hammel,,2:46,D,"15,476",---,
4,"Wednesday, Apr 3",boxscore,KCR,@,DET,W,1,0,4.58,0.68,4,1,Junis,Boyd,Herrera,2:17,D,"15,083",#ERROR!,
5,"Saturday, Apr 6",boxscore,KCR,@,CLE,L,2,3,3.77,0.766,5,2.5,Carrasco,Duffy,Allen,2:41,D,"34,720",-,
6,"Sunday, Apr 7",boxscore,KCR,@,CLE,W,1,0,3.77,0.766,4,1.5,Kennedy,Bauer,Herrera,2:29,D,"17,362",#ERROR!,
7,"Monday, Apr 8",boxscore,KCR,@,CLE,L-wo,1,3,3.77,0.766,5,2,Allen,Maurer,,2:55,D,"14,240",-,
8,"Tuesday, Apr 9",boxscore,KCR,,SEA,W,10,0,4.13,0.722,4,1,Junis,Gonzales,,2:45,N,"12,324",#ERROR!,
9,"Wednesday, Apr 10",boxscore,KCR,,SEA,L,3,8,4.13,0.722,4,2,Hernandez,Skoglund,,2:58,N,"14,850",-,
10,"Thursday, Apr 11",boxscore,KCR,,SEA,L,2,4,4.13,0.722,5,3,Vincent,Grimm,Diaz,2:48,D,"14,314",--,
11,"Friday, Apr 12",boxscore,KCR,,LAA,L,1,7,4.15,0.726,5,4,Tropeano,Kennedy,,3:00,N,"14,714",---,
12,"Saturday, Apr 13",boxscore,KCR,,LAA,L,4,5,4.15,0.726,5,4.5,Wood,Grimm,Middleton,3:24,N,"15,011",----,
13,"Sunday, Apr 14",boxscore,KCR,,LAA,L,3,5,4.15,0.726,5,5,Richards,Junis,Middleton,3:03,N,"15,876",-----,
14,"Tuesday, Apr 17 (1)",boxscore,KCR,@,TOR,L,3,11,4.85,0.739,5,6,Garcia,Skoglund,,2:56,D,,------,
15,"Tuesday, Apr 17 (2)",boxscore,KCR,@,TOR,L-wo,4,5,4.85,0.739,5,6,Clippard,Flynn,,3:37,D,"18,645",-------,
16,"Thursday, Apr 18",boxscore,KCR,@,TOR,L,5,15,4.85,0.739,5,6.5,Happ,Kennedy,,3:05,D,"28,803",--------,
17,"Friday, Apr 20 (1)",boxscore,KCR,@,DET,L-wo,2,3,4.58,0.68,5,6,Jimenez,Keller,,2:46,D,"15,406",---------,
18,"Friday, Apr 20 (2)",boxscore,KCR,@,DET,W,3,2,4.58,0.68,5,6,Junis,Greene,Herrera,2:34,N,"17,194",#ERROR!,
19,"Sunday, Apr 21",boxscore,KCR,@,DET,L,4,12,4.58,0.68,5,6.5,Fiers,Duffy,Saupold,3:04,D,"19,302",-,
20,"Monday, Apr 22",boxscore,KCR,@,DET,W,8,5,4.58,0.68,4,6.5,McCarthy,VerHagen,Herrera,3:09,D,"19,034",#ERROR!,
21,"Wednesday, Apr 24",boxscore,KCR,,MIL,L,2,5,3.73,0.747,5,7,Davies,Kennedy,,2:59,N,"16,555",-,
22,"Thursday, Apr 25",boxscore,KCR,,MIL,L,2,6,3.73,0.747,5,8,Chacin,Hammel,,2:57,N,"13,389",--,
23,"Friday, Apr 26",boxscore,KCR,,CHW,L,3,6,4.84,0.703,5,8,Giolito,Junis,Soria,3:08,N,"18,315",---,
24,"Saturday, Apr 27",boxscore,KCR,,CHW,L,4,7,4.84,0.703,5,9,Infante,Hill,Soria,3:34,N,"15,395",----,
25,"Saturday, Apr 28 (1)",boxscore,KCR,,CHW,L,0,8,4.84,0.703,5,8.5,Fulmer,Oaks,,2:49,D,"16,971",-----,
26,"Saturday, Apr 28 (2)",boxscore,KCR,,CHW,W,5,2,4.84,0.703,5,8.5,Skoglund,Covey,Herrera,2:39,N,"16,070",#ERROR!,
27,"Monday, Apr 29",boxscore,KCR,,CHW,W,5,4,4.84,0.703,5,7.5,McCarthy,Rondon,Boyer,3:19,D,"23,892",#ERROR!,
28,"Tuesday, Apr 30",boxscore,KCR,@,BOS,L,6,10,3.75,0.792,5,8.5,Velazquez,Hammel,,3:13,N,"31,314",-,
