Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,30,24,6,0.8,-1.75,-7.48,13,4,12,2,10,4,2231,1904,,67.4,109.4,0.34,0.342,0.568,50.7,58.7,12.6,8.2,0.538,15.7,29.5,0.242
2,Air Force,29,13,16,0.448,-3.17,1.01,8,9,9,6,3,8,1990,2082,,67.5,100,0.282,0.391,0.543,50.1,52.9,7.1,5.6,0.52,17.4,24.1,0.19
3,Akron,30,16,14,0.533,5.51,0.98,8,9,13,3,1,9,2080,1906,,68.3,101.1,0.28,0.474,0.515,48.7,50.2,8.3,8.9,0.487,14.9,26.2,0.195
4,Alabama A&M,31,5,26,0.161,-19.16,-8.23,4,13,4,7,0,16,1880,2219,,67.7,88.6,0.255,0.321,0.482,46.9,52.3,10.7,4.8,0.461,19.7,27.1,0.159
5,Alabama-Birmingham,30,17,13,0.567,-0.03,-1.36,9,8,10,5,6,5,2114,2039,,66.6,104.9,0.295,0.351,0.536,52.6,45.9,9.6,7.6,0.513,14.9,30.4,0.196
6,Alabama State,28,11,17,0.393,-15.3,-7.3,9,8,8,3,2,11,1892,2024,,69.7,96.1,0.379,0.389,0.502,49,43.8,9.2,9.8,0.467,17.9,31,0.25
7,Alabama,30,17,13,0.567,10.72,9.35,8,9,10,5,4,7,2182,2141,,70.1,103.7,0.39,0.369,0.54,52.2,48.9,6.4,12.1,0.509,16.8,31,0.263
8,Albany (NY),31,12,19,0.387,-8.77,-6.27,7,9,6,8,6,9,2096,2154,,66.9,99.5,0.325,0.449,0.532,49.8,55.6,9.2,7.1,0.494,18.3,27.4,0.242
9,Alcorn State,29,10,19,0.345,-20.99,-8.99,6,11,10,3,0,14,1865,2010,,68.6,93.4,0.308,0.382,0.503,50.1,55.8,11.1,9.8,0.473,19.6,30.1,0.206
10,American,30,15,15,0.5,-3.8,-6.84,9,9,8,6,6,8,2161,2070,,67.7,104.7,0.358,0.355,0.562,50.4,51.4,10.7,11,0.533,16.7,26.1,0.25
11,Appalachian State,30,11,19,0.367,-2.96,0.56,6,11,8,4,2,11,2406,2372,,73.9,107.6,0.366,0.413,0.562,48.7,45.8,7.2,6.6,0.53,15.6,26.7,0.261
12,Arizona State,29,20,9,0.69,10.35,5.62,11,6,13,3,5,5,2260,2123,,72.5,106.2,0.43,0.363,0.54,53.2,51.4,8.5,9.4,0.507,15.9,32.9,0.287
13,Arizona,30,17,13,0.567,9.19,6.36,8,9,12,4,4,7,2140,2055,,68.4,103.5,0.327,0.375,0.527,50.4,49.8,7.6,6.4,0.492,14.4,28.8,0.235
14,Little Rock,30,10,20,0.333,-4.16,-1.88,5,12,7,7,3,12,2239,2274,,72.8,101.6,0.414,0.343,0.57,50,54.4,7.6,8.7,0.546,19.9,24.6,0.273
15,Arkansas-Pine Bluff,30,12,18,0.4,-15,-7.37,9,8,8,2,3,16,1965,2153,,67.5,95.5,0.426,0.343,0.522,49.5,52.3,9.8,9.2,0.483,19.6,28.9,0.288
16,Arkansas State,30,13,17,0.433,-6.53,-0.64,7,10,9,3,2,12,2205,2310,,70.6,102,0.387,0.369,0.526,51.6,46.8,8.2,11.8,0.482,17.1,33.1,0.282
17,Arkansas,30,16,14,0.533,12.26,9.06,7,10,11,6,4,7,2283,2187,,72.4,104.3,0.39,0.375,0.541,46.8,59.6,11,14.5,0.513,16.1,28.3,0.257
18,Army,32,13,19,0.406,-7.04,-4.2,8,10,10,4,3,12,2268,2305,,71.7,98.9,0.241,0.442,0.52,48.9,59.6,8.6,4.6,0.497,14.7,21.8,0.165
19,Auburn,30,21,9,0.7,19.78,9.3,10,7,14,2,4,6,2398,2043,,70.2,113,0.312,0.475,0.563,50.4,52.6,12.9,16.2,0.538,15.3,34,0.219
20,Austin Peay,32,22,10,0.688,0.91,-4.79,13,5,10,2,8,7,2645,2330,,72,113.4,0.345,0.341,0.569,52.1,47.1,10.5,9.2,0.54,14.2,33.4,0.245
21,Ball State,30,15,15,0.5,4.17,1.69,6,11,7,6,7,7,2274,2156,,71.9,103.7,0.383,0.327,0.558,51.3,47.4,9.3,8.7,0.524,17.5,27.6,0.271
22,Baylor,30,19,11,0.633,13.47,7.87,10,7,13,5,5,5,2157,1989,,66.5,107.6,0.33,0.4,0.54,54.8,55.3,9.3,14.1,0.513,16.6,38,0.222
23,Belmont,29,25,4,0.862,8.83,-4.1,16,2,13,1,12,3,2562,2146,,74.7,117.2,0.29,0.437,0.609,52.8,62.6,9.3,9.6,0.586,13.9,25.6,0.213
24,Bethune-Cookman,30,14,16,0.467,-11.17,-9.17,9,7,11,3,3,12,2219,2165,,74.1,99,0.366,0.333,0.517,52,53.2,9.9,9.2,0.495,18.2,33.9,0.224
25,Binghamton,31,9,22,0.29,-13.57,-4.64,5,11,5,11,4,11,2023,2220,,67.6,96.6,0.247,0.427,0.522,45.7,41.5,8.3,12.6,0.503,16.6,21.2,0.16
26,Boise State,30,11,19,0.367,3.04,1.24,6,11,7,7,3,10,2149,2077,,66.8,106.4,0.326,0.396,0.565,49.5,46,8.8,6.5,0.536,15.4,23.7,0.233
27,Boston College,29,14,15,0.483,7.53,8.35,5,12,10,7,2,8,2079,2103,,68.5,103,0.348,0.381,0.528,49.2,49.5,7.4,9,0.495,15.4,28.5,0.242
28,Boston University,33,15,18,0.455,-6.16,-4.94,7,11,7,7,8,9,2385,2387,,68.1,105.8,0.243,0.332,0.556,51.5,48.5,8.8,6.6,0.537,16.5,28.7,0.166
29,Bowling Green State,30,20,10,0.667,4.4,0.26,12,5,14,2,5,7,2352,2172,,72.6,107.2,0.352,0.357,0.533,53.6,46.9,9.4,8,0.504,14.1,31.5,0.236
